x,y,z,label,family,region
0.132249556,0.325179164,0.300013538,Beja [bej],Afro-Asiatic,Africa
0.708916396,0.338289591,0.111319566,Tamazight [tzm],Afro-Asiatic,Africa
0.784655312,0.365806369,0.15987626,Riff [rif],Afro-Asiatic,Africa
0.694533973,0.309729238,0.134474755,Kabyle [kab],Afro-Asiatic,Africa
0.787509212,0.276647011,0.146347069,Tashelhiyt [shi],Afro-Asiatic,Africa
0.757214015,0.550907045,0.338867009,Kera [ker],Afro-Asiatic,Africa
0.848311131,0.329211409,0.380978618,Lele [lln],Afro-Asiatic,Africa
0.427933913,0.568563829,0.269032207,Oromo [hae],Afro-Asiatic,Africa
0.560694671,0.212281815,0.228034027,Somali [som],Afro-Asiatic,Africa
0.156389839,0.319196522,0.172931573,Amharic [amh],Afro-Asiatic,Africa
0.756145313,0.341354995,0.237405909,Arabic_Egyptian [arz],Afro-Asiatic,Africa
0.659325899,0.342377853,0.213914975,Arabic_Gulf [afb],Afro-Asiatic,Eurasia
0.599086734,0.294438408,0.179031999,Arabic [arb],Afro-Asiatic,Eurasia
0.70181872,0.317527817,0.171070754,Arabic_Moroccan [ary],Afro-Asiatic,Africa
0.694694345,0.323707738,0.21456544,Arabic_Syrian [apc],Afro-Asiatic,Eurasia
0.649150163,0.477806603,0.059854736,Hebrew [heb],Afro-Asiatic,Eurasia
0.547552019,0.448931591,0.210578974,Iraqw [irk],Afro-Asiatic,Africa
0.827829338,0.490050146,0.156532853,Hausa [hau],Afro-Asiatic,Africa
0.554891483,0.363804479,0.860181726,Ainu [ain],Ainu,Eurasia
0.508175908,0.039027444,0.765159614,Blackfoot [bla],Algic,North America
0.633046615,0.119713374,0.654425115,Cree_Plains [crk],Algic,North America
0.600729809,0.121985159,0.626593509,Montagnais [moe],Algic,North America
0.644558343,0,0.509414851,Ojibwe [ojg],Algic,North America
0.597940071,0.057930018,0.414732863,Passamaquoddy-Maliseet [pqm],Algic,North America
0.423655783,0.234489892,0.265768412,Yurok [yur],Algic,North America
0.263808255,0.580318521,0.417066739,Dagur [dta],Mongolic,Eurasia
0.200852878,0.660466723,0.397985428,Khalkha [khk],Mongolic,Eurasia
0.203219756,0.59876213,0.451879259,Mongolian [mon],Mongolic,Eurasia
0.085392128,0.496944689,0.470128047,Even [eve],Tungusic,Eurasia
0.087555315,0.523463539,0.407929457,Evenki [evn],Tungusic,Eurasia
0.142322312,0.541546068,0.472103367,Manchu [mnc],Tungusic,Eurasia
0.127448125,0.528012597,0.435149525,Udihe [ude],Tungusic,Eurasia
0.224695615,0.589688807,0.435052261,Azeri [azb],Turkic,Eurasia
0.231039394,0.583961172,0.444296234,Azerbaijani [azj],Turkic,Eurasia
0.265521926,0.5831056,0.440437026,Bashkir [bak],Turkic,Eurasia
0.188303416,0.571992828,0.45076288,Chuvash [chv],Turkic,Eurasia
0.26749029,0.557784324,0.443407664,Turkish_Crimean [crh],Turkic,Eurasia
0.223473643,0.590345175,0.446885613,Karachay-Balkar [krc],Turkic,Eurasia
0.211482732,0.589567453,0.434956534,Karakalpak [kaa],Turkic,Eurasia
0.173271287,0.538618821,0.445479265,Khakas [kjh],Turkic,Eurasia
0.289016845,0.577806304,0.418299723,Khalaj [klj],Turkic,Eurasia
0.142871942,0.583026174,0.44374224,Kirghiz [kir],Turkic,Eurasia
0.266418034,0.590984686,0.425706236,Tatar [tat],Turkic,Eurasia
0.145091203,0.514761884,0.368721576,Turkish [tur],Turkic,Eurasia
0.20254733,0.546891224,0.48249716,Turkmen [tuk],Turkic,Eurasia
0.198795541,0.543655161,0.471374377,Tuva [tyv],Turkic,Eurasia
0.214600033,0.546282578,0.472945231,Uighur [uig],Turkic,Eurasia
0.2513871,0.527671482,0.406233627,Uzbek [uzn],Turkic,Eurasia
0.181312855,0.535605333,0.453059482,Yakut [sah],Turkic,Eurasia
0.350679729,0.045754307,0.386862791,Paumarí [pad],Arawá,South America
0.457627441,0.309795231,0.518380565,Mapudungun [arn],Araucanian,South America
0.560716913,0.141834744,0.407281838,Apurinã [apu],Arawak,South America
0.76837306,0.234105206,0.536498092,Guajira [guc],Arawak,South America
0.50348473,0.459839718,0.920729164,Gooniyandi [gni],Bunuban,Australia
0.482828916,0.299216734,0.4309168,Gurr-goni [gge],Maningrida,Australia
0.605630507,0.16731907,0.619317428,Gaagudju [gbu],Gaagudju,Australia
0.407013997,0.716172279,0.250079314,Garawa [gbc],Wanyi-Garrwa,Australia
0.646607262,0.056135457,0.582355807,Bininj Gun-Wok [gup],Gunwinyku,Australia
0.670178036,0.284284413,0.324862471,Maung [mph],Iwaidjan,Australia
0.553567857,0.223789646,0.649906517,Limilngan [lmc],Darwin,Australia
0.431159046,0.196305198,0.267824433,Manggarayi [mpc],Gunwinyku,Australia
0.606364576,0.065685257,0.503768118,Mara [mec],Mara-Warndarang-Alawa,Australia
0.443371405,0.099837553,0.550274124,Warndarang [wnd],Mara-Warndarang-Alawa,Australia
0.470740227,0.183917852,0.517039168,Ngalakgan [nig],Gunwinyku,Australia
0.539346766,0.053701453,0.48629209,Nunggubuyu [nuy],Gunwinyku,Australia
0.273533126,0.651615119,0.309037738,Bandjalang [bdy],6,Australia
0.284526503,0.744688286,0.401954667,Dharumbal [bjy],6,Australia
0.299465057,0.910950726,0.303291562,Diyari [dif],6,Australia
0.416787723,0.796474232,0.310728985,Djapu [duj],6,Australia
0.348594951,0.759592548,0.265082219,Dyirbal [dbl],6,Australia
0.264943028,0.746750362,0.165588204,Bandjalang-Gidabal [bdy-3],6,Australia
0.22575043,0.356843288,0.483743716,Kalkatungu [ktg],6,Australia
0.37734928,0.678655783,0.265687767,Martuthunira [vma],6,Australia
0.25012337,0.380155474,0.370028304,Muruwari [zmu],6,Australia
0.251935442,0.429017065,0.425147888,Ngiyambaa [wyb],6,Australia
0.293582178,0.373254579,0.428182761,Nyangumarta [nna],6,Australia
0.318279581,0.758962135,0.330471404,Nyawaygi [nyt],6,Australia
