V1,V2,V3,V4,V5,V6,V7,V8,V9,,Family,Area
x1a,y1,z1,x2,y2,z2,x3,y3,z3,,,
,,,0.132249556,0.325179164,0.300013538,,,,Beja [bej],Afro-Asiatic,1
,,,0.708916396,0.338289591,0.111319566,,,,Tamazight [tzm],Afro-Asiatic,1
,,,0.784655312,0.365806369,0.15987626,,,,Riff [rif],Afro-Asiatic,1
,,,0.694533973,0.309729238,0.134474755,,,,Kabyle [kab],Afro-Asiatic,1
,,,0.787509212,0.276647011,0.146347069,,,,Tashelhiyt [shi],Afro-Asiatic,1
,,,0.757214015,0.550907045,0.338867009,,,,Kera [ker],Afro-Asiatic,1
,,,0.848311131,0.329211409,0.380978618,,,,Lele [lln],Afro-Asiatic,1
,,,0.427933913,0.568563829,0.269032207,,,,Oromo [hae],Afro-Asiatic,1
,,,0.560694671,0.212281815,0.228034027,,,,Somali [som],Afro-Asiatic,1
,,,0.156389839,0.319196522,0.172931573,,,,Amharic [amh],Afro-Asiatic,1
,,,0.756145313,0.341354995,0.237405909,,,,Arabic_Egyptian [arz],Afro-Asiatic,1
,,,0.659325899,0.342377853,0.213914975,,,,Arabic_Gulf [afb],Afro-Asiatic,3
,,,0.599086734,0.294438408,0.179031999,,,,Arabic [arb],Afro-Asiatic,3
,,,0.70181872,0.317527817,0.171070754,,,,Arabic_Moroccan [ary],Afro-Asiatic,1
,,,0.694694345,0.323707738,0.21456544,,,,Arabic_Syrian [apc],Afro-Asiatic,3
,,,0.649150163,0.477806603,0.059854736,,,,Hebrew [heb],Afro-Asiatic,3
,,,0.547552019,0.448931591,0.210578974,,,,Iraqw [irk],Afro-Asiatic,1
,,,0.827829338,0.490050146,0.156532853,,,,Hausa [hau],Afro-Asiatic,1
,,,0.554891483,0.363804479,0.860181726,,,,Ainu [ain],Ainu,3
,,,0.508175908,0.039027444,0.765159614,,,,Blackfoot [bla],Algic,4
,,,0.633046615,0.119713374,0.654425115,,,,Cree_Plains [crk],Algic,4
,,,0.600729809,0.121985159,0.626593509,,,,Montagnais [moe],Algic,4
,,,0.644558343,0,0.509414851,,,,Ojibwe [ojg],Algic,4
,,,0.597940071,0.057930018,0.414732863,,,,Passamaquoddy-Maliseet [pqm],Algic,4
,,,0.423655783,0.234489892,0.265768412,,,,Yurok [yur],Algic,4
,,,0.263808255,0.580318521,0.417066739,,,,Dagur [dta],Mongolic,3
,,,0.200852878,0.660466723,0.397985428,,,,Khalkha [khk],Mongolic,3
,,,0.203219756,0.59876213,0.451879259,,,,Mongolian [mon],Mongolic,3
,,,0.085392128,0.496944689,0.470128047,,,,Even [eve],Tungusic,3
,,,0.087555315,0.523463539,0.407929457,,,,Evenki [evn],Tungusic,3
,,,0.142322312,0.541546068,0.472103367,,,,Manchu [mnc],Tungusic,3
,,,0.127448125,0.528012597,0.435149525,,,,Udihe [ude],Tungusic,3
,,,0.224695615,0.589688807,0.435052261,,,,Azeri [azb],Turkic,3
,,,0.231039394,0.583961172,0.444296234,,,,Azerbaijani [azj],Turkic,3
,,,0.265521926,0.5831056,0.440437026,,,,Bashkir [bak],Turkic,3
,,,0.188303416,0.571992828,0.45076288,,,,Chuvash [chv],Turkic,3
,,,0.26749029,0.557784324,0.443407664,,,,Turkish_Crimean [crh],Turkic,3
